Unnamed: 0,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
5,TECHNIQUE,PRIX
7,PRIX,TECHNIQUE
17,TECHNIQUE,PRIX
18,TECHNIQUE,PRIX
29,PRIX,TECHNIQUE
31,PRIX,TECHNIQUE
39,PRIX,TECHNIQUE
46,PRIX,QUALITE
49,AUTRE,TECHNIQUE
50,PRIX,TECHNIQUE
55,PRIX,TECHNIQUE
68,TECHNIQUE,PRIX
69,PRIX,TECHNIQUE
87,PRIX,TECHNIQUE
90,QUALITE,QUALITE
99,PRIX,TECHNIQUE
100,PRIX,TECHNIQUE
108,PRIX,QUALITE
118,TECHNIQUE,PRIX
120,TECHNIQUE,PRIX
121,AUTRE,AUTRE
122,PRIX,TECHNIQUE
123,TECHNIQUE,PRIX
124,AUTRE,PRIX
125,TECHNIQUE,PRIX
126,TECHNIQUE,PRIX
127,PRIX,TECHNIQUE
128,PRIX,TECHNIQUE
130,PRIX,TECHNIQUE
135,PRIX,QUALITE
138,TECHNIQUE,PRIX
139,TECHNIQUE,AUTRE
140,TECHNIQUE,PRIX
141,PRIX,TECHNIQUE
145,AUTRE,PRIX
149,PRIX,TECHNIQUE
154,TECHNIQUE,PRIX
158,PRIX,TECHNIQUE
159,TECHNIQUE,PRIX
163,TECHNIQUE,QUALITE
165,QUALITE,AUTRE
166,PRIX,QUALITE
169,TECHNIQUE,QUALITE
171,TECHNIQUE,PRIX
172,PRIX,TECHNIQUE
175,QUALITE,PRIX
176,TECHNIQUE,PRIX
179,TECHNIQUE,PRIX
180,AUTRE,PRIX
181,PRIX,TECHNIQUE
183,PRIX,TECHNIQUE
184,PRIX,TECHNIQUE
185,AUTRE,TECHNIQUE
186,PRIX,TECHNIQUE
187,TECHNIQUE,PRIX
188,TECHNIQUE,PRIX
189,PRIX,TECHNIQUE
193,TECHNIQUE,PRIX
194,PRIX,TECHNIQUE
195,PRIX,TECHNIQUE
196,PRIX,TECHNIQUE
197,PRIX,TECHNIQUE
198,TECHNIQUE,PRIX
199,TECHNIQUE,QUALITE
201,PRIX,TECHNIQUE
203,PRIX,TECHNIQUE
205,PRIX,AUTRE
206,TECHNIQUE,PRIX
207,TECHNIQUE,PRIX
209,TECHNIQUE,PRIX
210,PRIX,QUALITE
211,TECHNIQUE,PRIX
212,TECHNIQUE,PRIX
215,PRIX,TECHNIQUE
216,PRIX,AUTRE
217,PRIX,QUALITE
218,PRIX,TECHNIQUE
224,PRIX,TECHNIQUE
225,PRIX,TECHNIQUE
226,QUALITE,PRIX
228,PRIX,TECHNIQUE
229,AUTRE,AUTRE
230,PRIX,TECHNIQUE
235,TECHNIQUE,PRIX
237,TECHNIQUE,PRIX
238,TECHNIQUE,PRIX
245,PRIX,AUTRE
246,TECHNIQUE,PRIX
249,PRIX,TECHNIQUE
253,AUTRE,QUALITE
255,TECHNIQUE,PRIX
257,TECHNIQUE,PRIX
259,PRIX,QUALITE
262,PRIX,TECHNIQUE
265,PRIX,QUALITE
267,PRIX,QUALITE
268,PRIX,QUALITE
269,PRIX,TECHNIQUE
270,TECHNIQUE,QUALITE
271,PRIX,AUTRE
273,PRIX,TECHNIQUE
277,PRIX,TECHNIQUE
278,PRIX,TECHNIQUE
280,AUTRE,AUTRE
281,TECHNIQUE,PRIX
287,TECHNIQUE,PRIX
289,PRIX,TECHNIQUE
290,PRIX,TECHNIQUE
291,TECHNIQUE,PRIX
294,PRIX,TECHNIQUE
295,PRIX,AUTRE
296,PRIX,TECHNIQUE
298,PRIX,TECHNIQUE
300,TECHNIQUE,PRIX
307,PRIX,TECHNIQUE
317,TECHNIQUE,PRIX
326,PRIX,TECHNIQUE
328,PRIX,TECHNIQUE
335,PRIX,TECHNIQUE
339,PRIX,TECHNIQUE
343,PRIX,AUTRE
346,TECHNIQUE,PRIX
359,PRIX,TECHNIQUE
361,PRIX,TECHNIQUE
366,PRIX,AUTRE
377,PRIX,TECHNIQUE
380,PRIX,TECHNIQUE
381,TECHNIQUE,TECHNIQUE
384,TECHNIQUE,PRIX
386,QUALITE,QUALITE
387,PRIX,TECHNIQUE
389,TECHNIQUE,PRIX
390,TECHNIQUE,PRIX
391,PRIX,TECHNIQUE
407,PRIX,TECHNIQUE
408,PRIX,TECHNIQUE
411,PRIX,TECHNIQUE
412,QUALITE,TECHNIQUE
413,TECHNIQUE,PRIX
417,QUALITE,AUTRE
418,QUALITE,AUTRE
425,TECHNIQUE,PRIX
427,TECHNIQUE,PRIX
433,PRIX,TECHNIQUE
434,TECHNIQUE,AUTRE
448,TECHNIQUE,PRIX
450,PRIX,TECHNIQUE
465,PRIX,TECHNIQUE
480,PRIX,QUALITE
484,PRIX,AUTRE
486,TECHNIQUE,PRIX
489,TECHNIQUE,PRIX
493,PRIX,QUALITE
494,PRIX,TECHNIQUE
495,TECHNIQUE,PRIX
501,PRIX,TECHNIQUE
502,TECHNIQUE,AUTRE
503,TECHNIQUE,PRIX
504,PRIX,TECHNIQUE
512,PRIX,TECHNIQUE
515,PRIX,TECHNIQUE
518,PRIX,TECHNIQUE
519,TECHNIQUE,PRIX
526,TECHNIQUE,PRIX
527,PRIX,AUTRE
541,TECHNIQUE,PRIX
543,TECHNIQUE,PRIX
545,PRIX,TECHNIQUE
549,TECHNIQUE,PRIX
550,TECHNIQUE,PRIX
553,TECHNIQUE,AUTRE
554,PRIX,QUALITE
556,TECHNIQUE,PRIX
560,PRIX,TECHNIQUE
573,TECHNIQUE,TECHNIQUE
576,PRIX,TECHNIQUE
580,PRIX,TECHNIQUE
584,PRIX,QUALITE
586,PRIX,TECHNIQUE
591,TECHNIQUE,PRIX
592,PRIX,TECHNIQUE
593,TECHNIQUE,PRIX
600,TECHNIQUE,PRIX
603,TECHNIQUE,PRIX
610,PRIX,PRIX
612,PRIX,TECHNIQUE
616,TECHNIQUE,PRIX
619,TECHNIQUE,PRIX
620,PRIX,TECHNIQUE
623,TECHNIQUE,PRIX
624,TECHNIQUE,PRIX
628,TECHNIQUE,PRIX
638,PRIX,TECHNIQUE
641,PRIX,TECHNIQUE
642,PRIX,TECHNIQUE
653,QUALITE,TECHNIQUE
656,TECHNIQUE,PRIX
657,QUALITE,QUALITE
668,PRIX,TECHNIQUE
673,TECHNIQUE,PRIX
674,PRIX,TECHNIQUE
678,TECHNIQUE,PRIX
681,TECHNIQUE,PRIX
682,TECHNIQUE,PRIX
684,TECHNIQUE,PRIX
691,PRIX,TECHNIQUE
692,PRIX,TECHNIQUE
693,QUALITE,TECHNIQUE
699,PRIX,TECHNIQUE
700,PRIX,TECHNIQUE
701,TECHNIQUE,PRIX
705,PRIX,TECHNIQUE
706,PRIX,TECHNIQUE
707,PRIX,TECHNIQUE
708,PRIX,TECHNIQUE
713,PRIX,TECHNIQUE
714,PRIX,QUALITE
730,QUALITE,PRIX
731,PRIX,TECHNIQUE
734,PRIX,QUALITE
740,PRIX,TECHNIQUE
751,PRIX,TECHNIQUE
753,TECHNIQUE,PRIX
757,TECHNIQUE,PRIX
758,PRIX,TECHNIQUE
759,PRIX,TECHNIQUE
760,PRIX,TECHNIQUE
764,TECHNIQUE,QUALITE
765,PRIX,TECHNIQUE
