,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
5,Memoire technique,Prix
7,Prix,Valeur technique
17,Valeur technique,Prix des prestations
18,valeur technique,prix des prestations
29,Prix,Valeur technique
31,Prix,Valeur technique
39,le prix des prestations,la valeur technique des prestations
46,Prix,Couverture des besoins
49,Valeur économique,Valeur technique
50,le prix des prestations,La valeur technique des prestations
55,prix,valeur technique
68,valeur technique,prix des prestations
69,le prix des prestations,la valeur technique des prestations
87,Prix,Valeur technique
90,Montant des forfaits mensuels,Qualité et étendu des prestations
99,Prix,Valeur technique selon note méthodologique
100,Coût : prix des prestations et coût de déplacement chez le prestataire,Valeur technique : appréciée en fonction des moyens techniques
108,Prix,Couverture besoins
118,Valeur technique de loffre,Prix de loffre
120,Valeur technique,Prix de loffre
121,80 pts\xa0: loyer mensuel des deux voiturettes à lannée,20 pts\xa0: coût de la mise à disposition des véhicules à la Toussaint et autres besoins ponctuels
122,Prix,Valeur technique appréciée en fonction des éléments figurant dans le mémoire technique et fournis à lappui de loffre et notamment :
123,valeur technique des offres,prix des prestations
124,Valeur technique appréciée en fonction des éléments figurant dans le mémoire technique et fournis à lappui de loffre et notamment: le mode opératoire mis en oeuvre permettant dassurer la prestation,Prix
125,Valeur technique,Prix des prestations
126,Valeur technique des prestations appréciée à partir du mémoire justificatif (programme dexécution des prestations (voir RC,Prix des prestations (voir RC
127,Prix des prestations,Valeur technique
128,Prix,Valeur technique et environnementale
130,Prix,Valeur technique
135,Prix,Délai de livraison
138,Valeur technique,Prix
139,Valeur technique de loffre (cf détail dans le règlement de consultation,Coût de possession du matériel sur 5 ans (cf détail dans le règlement de consultation
140,Valeur technique,Prix
141,Prix,Valeur technique
145,Valeur qualitative des produits,Prix
149,Prix,Valeur technique
154,valeur technique,prix
158,prix des prestations,valeur technique
159,Valeur technique (70 pts ,Prix des prestations(30 pts
163,Valeur technique,Moyens humains (et expérience affectés à la réalisation de la prestation
165,Délai et conditions dexécution de la prestation,Moyens mis en oeuvre
166,1/ Prix,2/ Délai dexécution
169,Valeur technique de loffre (cf Règlement de consultation,Coût de la location (cf Règlement de consultation
171,Valeur technique appréciée en fonction du mémoire technique,Prix
172,Prix,Valeur technique de loffre
175,Qualité de loffre: 60 pts,Prix : 20 pts
176,Valeur technique de loffre (60 pts,Prix de loffre (40 pts
179,Valeur technique appréciée en fonction de lergonomie du logiciel,Prix
180,Valeur tchnique,Prix
181,Prix,Valeur technique appréciée au vu du mémoire technique
183,Prix des prestations,Valeur technique de loffre (mémoire technique - Voir sous pondération au réglement de consultation
184,Prix,Technique
185,Coût dacquisition pour les lots 1 et 2 et Coût dexploitation pour le lot 3,Valeur technique du produit pour les lots 1 et 2 et Contraintes techniques dexploitation biomédicales pour le lot 3
186,Prix des prestations au regard du Détail estimatif indicatif,Valeur technique au regard du mémoire technique
187,Valeur technique,Prix
188,Valeur technique,Prix
189,Prix,Valeur technique
193,Valeur technique appréciée en fonction de la documentation technique fournie et des essais des véhicules (si nécessaire,Prix
194,Prix de loffre (12 pts,Valeur technique de loffre (8 pts
195,Prix des prestations,Valeur technique de loffre (mémoire technique
196,Prix des prestations,Valeur technique de loffre (mémoire technique
197,Prix,Valeur technique
198,1/ Valeur technique,2/ Prix
199,valeur technique de loffre,démarche qualité
201,Prix des prestations,Valeur technique et environnementale
203,Prix - Coeff. 5,Qualité technique du matériel et du service proposés - Coeff. 4
205,Critères applicables aux lots 1 à 15 : Prix - 50 %,Critères applicables aux lots 16
206,Valeur technique : 60 pts,Prix des prestations\xa0: 40 pts
207,valeur technique sur la base de la note méthodologique,prix
209,Valeur technique de loffre,Prix
210,Prix,Nature et étendues des garanties
211,Qualité technique et environnementale de la prestation - Coef. 5,Prix - Coeff 4
212,Qualité technique et performances environnementales de la prestation - Coeff 5,Prix - coef. 4
215,Prix,Valeur technique
216,prix,organisation logistique
217,1 Prix des prestations,2 Délai dexécution des retouches de couture
218,Prix,Valeur technique et environnementale
224,Le prix des prestations,La valeur technique au regard dune notice explicative
225,Prix des prestations,Valeur technique de la prestation appréciée au vu du contenu des éléments du mémoire technique
226,Qualité (qualité gustative + qualité de fabrication,Prix de loffre
228,Prix,Valeur technique
229,-Coût global pour le CDT de limpression du Guide des loisirs (pour chacune des 2 options à létude,-Solidité financière et expérience du candidat (30%. Ce critère sera jugé sur les comptes annuels du dernier exercice
230,Prix des prestations,Valeur technique
235,La valeur technique.,Le prix des prestations
237,Valeur technique,Prix
238,Valeur technique,Prix
245,Le prix,Le planning dexécution évalué sur la base de 2 documents à joindre impérativement à loffre :1- Un calendrier dexécution qui indiquera lenchaînement des tâches et précisera
246,Valeur technique décrivant loffre du candidat,Prix
249,Prix,Valeur technique analysée au vu du mémoire technique
253,La présentation du candidat,La qualité des références présentées
255,Valeur technique,Prix des prestations
257,Valeur technique de loffre,Prix
259,prix 60%,qualité de loffre 40%
262,Prix des prestations,Valeur technique des prestations
265,Prix des prestations,Temps affecté à la mission
267,Prix,Délai de livraison
268,prix,temps affecté à la mission
269,Prix,Qualité technique
270,Valeur technique,Montant des prestations
271,Prix,Qualité des équipements et du service
273,Prix,Valeur technique de loffre
277,prix des prestations,valeur technique
278,Prix des prestations,Valeur technique
280,Mode opératoire des travaux : Indications sur les procédés dexécution envisagés (10,Planning détaillé dexécution des ouvrages et de phasage des travaux
281,Valeur technique,Prix des prestations
287,Valeur technique,Prix
289,Prix,Valeur technique de loffre
290,Prix,Valeur technique
291,Valeur technique (Moyens humains et interlocuteurs affectés à lexécution et au suivi des travaux /10,Prix
294,Prix,Valeur technique de loffre
295,Prix des prestations,Qualité du programme proposé
296,Prix,Valeur technique
298,Prix des prestations,Valeur technique
300,Valeur technique,Prix des prestations
307,Prix,Valeur technique de loffre
317,Valeur technique,Prix des prestations
326,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
328,Prix,Valeur technique de loffre
335,prix,valeur technique
339,Prix,Valeur technique de loffre
