,CRITERE,PRIX,TECHNIQUE,QUALITE,DELAI,AUTRE
26417,Valeur technique des prestations,0,1,0,0,0
9575,Valeur technique,0,1,0,0,0
23916,Prix des prestations,1,0,0,0,0
16730,CRITERE 2 : LA VALEUR TECHNIQUE DONT :,0,0,0,0,0
5725,Prix des prestations,1,0,0,0,0
26759,Valeur technique,0,1,0,0,0
521,Prix des prestations,1,0,0,0,0
13898,Valeur technique de loffre,0,1,0,0,0
20291,Valeur technique au vu du mémoire technique et environnemental,0,1,0,0,0
30211,Valeur technique,0,1,0,0,0
22103,valeurs techniques des fournitures proposées dont la conformité aux normes,0,1,0,0,0
22594,VALEUR TECHNIQUE ET EVALUATION DES CAPACITES PROFESSIONNELLES,0,0,0,0,0
14852,prix,1,0,0,0,0
7481,Pluridisciplinarité des compétences : méthodologie,0,0,0,0,1
1729,Valeur technique,0,1,0,0,0
27437,Montants garantis (30 points,0,0,0,0,1
6344,Prix des fournitures,1,0,0,0,0
1639,technique,0,1,0,0,0
23406,Qualité des moyens humains,0,0,1,0,0
2010,Valeur technique au regard du mémoire,0,1,0,0,0
28519,Valeur technique et organisationnelle de loffre (55% pour le lot 1 et 40% pour le lot 2 - cf détails dans le règlement de consultation,0,1,0,0,0
14545,2. Valeur technique,0,1,0,0,0
9454,Prix des prestations,1,0,0,0,0
25580,Technique,0,1,0,0,0
29271,prix,1,0,0,0,0
15572,Gestion du CESU : le prestataire établira un mémoire faisant apparaître les moyens mis en place pour assurer la gestion et la méthode utilisée. Ce mémoire définira les éléments du tableau de bord,0,0,0,0,1
812,Valeur technique au vu du mémoire technique : Description mode opératoire précisant les étapes de réalisations avec les moyens humains et techniques (fournir un planning prévisionnel : 30% : Description des matériaux utilisés accompagnés de leurs fiches techniques : 20 % ; Références similaires : 5 %,0,1,0,0,0
